Name	Reactants	SMARTS	Products	Comments
1.14.12_04	cpd00067;cpd00004;cpd00007;Any	[#1;R0:1].[#1;D1R0:6][#6;H2D4:5][#6;H0D3:4]=[#6;H1D3:3][#7;H0D3:2].[#8;H0D1R0:7]=[#8;H0D1R0:8].[#6;D3;H1,H0:9]1=[#6;D3;H1,H0:14][#6;D3;H1,H0:13]=[#6;D3;H1,H0:12][#6;D3;H1,H0:11]=[#6;D3;H1,H0:10]1>>[#7+:2]=[*:3]-[*:4]=[*:5].[*:1]-[*:7]-[*:9]-1-[*:14]=[*:13]-[*:12]=[*:11]-[*:10]-1-[*:8]-[*:6]	cpd00003;Any	
1.14.12_05	cpd00067;cpd00004;cpd00007;Any	[#1;R0:1].[#1;D1R0:6][#6;H2D4:5][#6;H0D3:4]=[#6;H1D3:3][#7;H0D3:2].[#8;H0D1R0:7]=[#8;H0D1R0:8].[#6;D3;H1,H0:9]1=[#6;D3;H1,H0:10][#6;D3;H1,H0:11]=[#6;D3;H1,H0:12][#6;D3;H1,H0:13]=[#6;D3;H1,H0:14]1>>[#7+:2]=[*:3]-[*:4]=[*:5].[*:1]-[*:7]-[*:9]-1-[*:14]=[*:13]-[*:12]=[*:11]-[*:10]-1-[*:8]-[*:6]	cpd00003;Any	
1.14.13_01	cpd00067;cpd00004;cpd00007;Any	[#1;R0:1].[#1;D1R0:6][#6;H2D4:5][#6;H0D3:4]=[#6;H1D3:3][#7;H0D3:2].[#8;H0D1R0:7]=[#8;H0D1R0:8].[#1;D1R0:10][#6;D4;H3AR0,H2:9][#8;H0D2:11]-;!@[#6;D4;H3AR0,H2:12]>>[*:9]=[*:11].[*:1]-[*:7]-[*:6].[*:10]-[*:8]-[*:12].[#7+:2]=[*:3]-[*:4]=[*:5]	Any;cpd00001;Any;cpd00003
1.14.13_02	cpd00004;cpd00007;Any;cpd00067	[#1;D1R0:5][#6;H2D4:4][#6;H0D3:3]=[#6;H1D3:2][#7;H0D3:1].[#8;H0D1R0:6]=[#8;H0D1R0:7].[#1;D1R0:11][#7;D3R0;H1,H2:8][R0;#6,#7,#1D1:9].[#1;R0:10]>>[*:5]-[*:7]-[*:10].[*:11]-[*:6]-[*:8]-[*:9].[#7+:1]=[*:2]-[*:3]=[*:4]	cpd00001;Any;cpd00003	
1.14.13_03	cpd00067;cpd00067;cpd00004;cpd00004;cpd00007;Any	[#1;R0:1].[#1;R0:2].[#1;D1R0:7][#6;H2D4:6][#6;H0D3:5]=[#6;H1D3:4][#7;H0D3:3].[#1;D1R0:12][#6;H2D4:11][#6;H1D3:10]=[#6;H1D3:9][#7;H0D3:8].[#8;H0D1R0:13]=[#8;H0D1R0:14].[#6;H0D3,H3D4AR0,H0D3:15]-;!@[H0;#16;D4,#7D3:16]=[#8;H0D1R0:17]>>[*:1]-[*:13]-[*:15].[*:2]-[*:14]-[*:7].[*:12]-[*:17]-[*:16].[#7+:3]=[*:4]-[*:5]=[*:6].[#7+:8]=[*:9]-[*:10]=[*:11]	Any;cpd00001;Any;cpd00003;cpd00003	
1.14.13_04	cpd00067;cpd00004;cpd00007;Any	[#1;R0:1].[#1;D1R0:6][#6;H2D4:5][#6;H0D3:4]=[#6;H1D3:3][#7;H0D3:2].[#8;H0D1R0:7]=[#8;H0D1R0:8].[#6;H0D3:10]=[#16;H0D1:9]>>[*:1]-[*:8]-[*:6].[*-:7]-[*+:9]=[*:10].[#7+:2]=[*:3]-[*:4]=[*:5]	cpd00001;Any;cpd00003
1.14.13_05	cpd00067;cpd00004;cpd00007;Any	[#1;R0:1].[#1;D1R0:6][#6;H2D4:5][#6;H0D3:4]=[#6;H1D3:3][#7;H0D3:2].[#8;H0D1R0:7]=[#8;H0D1R0:8].[#6;H2D4,H0D3,H1D3:10][#16H0!r3;D2,D3:9][#6;H2D4,H0D3,H1D3:11]>>[*:1]-[*:8]-[*:6].[*:10]-[*:9](-[*:11])=[*:7].[#7+:2]=[*:3]-[*:4]=[*:5]	cpd00001;Any;cpd00003
1.14.13_06	cpd00067;cpd00004;cpd00007;Any	[#1;R0:1].[#1;D1R0:6][#6;H2D4:5][#6;H0D3:4]=[#6;H1D3:3][#7;H0D3:2].[#8;H0D1R0:7]=[#8;H0D1R0:8].[#6;H0D3R1,H2D4R1:9][#6;H2D4R1,H0D3AR0:10]>>[*:1]-[*:8]-[*:6].[*:9]-[*:7]-[*:10].[#7+:2]=[*:3]-[*:4]=[*:5]	cpd00001;Any;cpd00003	
1.14.13_07	cpd00067;cpd00067;cpd00004;cpd00004;cpd00007;Any	[#1;R0:1].[#1;R0:2].[#1;D1R0:7][#6;H2D4:6][#6;H0D3:5]=[#6;H1D3:4][#7;H0D3:3].[#1;D1R0:12][#6;H2D4:11][#6;H0D3:10]=[#6;H1D3:9][#7;H0D3:8].[#8;H0D1R0:13]=[#8;H0D1R0:14].[ClH0D1AR0,#7H2D3AR0,#7H0D3,#6H0D2,#16H0D4,BrH0D1AR0,#8H0D2,#6H1D3AR0,#6H0D3AR0:16]!@[#6;H0D3:15]1=[#6;D3;H0,H1:17][#6;D3;H0,H1:19]=[#6;D3;H0,H1:21][#6;D3;H0,H1:20]=[#6;D3;H0,H1:18]1>>[*:12]-[*:16].[*:2]-[*:14]-[*:7].[#7+:3]=[*:4]-[*:5]=[*:6].[#7+:8]=[*:9]-[*:10]=[*:11].[*:1]-[*:13]-[*:15]-1=[*:17]-[*:19]=[*:21]-[*:20]=[*:18]-1	Any;cpd00003;cpd00003;cpd00001;Any	
1.14.13_08	cpd00067;cpd00004;cpd00007;Any	[#1;R0:1].[#1;D1R0:6][#6;H2D4:5][#6;H0D3:4]=[#6;H1D3:3][#7;H0D3:2].[#8;H0D1R0:7]=[#8;H0D1R0:8].[#6D3;H2AR0,H0,H1:9]=[#6D3;H2AR0,H0,H1:10]>>[*:1]-[*:8]-[*:6].[*:7]-1-[*:9]-[*:10]-1.[#7+:2]=[*:3]-[*:4]=[*:5]	cpd00001;Any;cpd00003	
1.14.13_09	cpd00067;cpd00004;cpd00007;Any	[#1;R0:1].[#1;D1R0:6][#6;H2D4:5][#6;H0D3:4]=[#6;H1D3:3][#7;H0D3:2].[#8;H0D1R0:7]=[#8;H0D1R0:8].[#1;D1R0:12][#8;H1D2R0:11][#6;H0D3R0:10]([#6;H0D3:9])=[#8;H0D1R0:13]>>[*:1]-[*:8]-[*:6].[*:9]-[*:7]-[*:12].[*:11]=[*:10]=[*:13].[#7+:2]=[*:3]-[*:4]=[*:5]	cpd00011;Any;cpd00003;cpd00001	8 must be in an aromatic ring. (MM, 6-7-11 based on statement in SF thesis)
1.14.13_10	cpd00067;cpd00004;cpd00007;Any	[#1;R0:1].[#1;D1R0:6][#6;H2D4:5][#6;H0D3:4]=[#6;H1D3:3][#7;H0D3:2].[#8;H0D1R0:7]=[#8;H0D1R0:8].[#6;H1D3a,H1D3R1,H2D4R1,H3D4AR0,H4D4AR0:9][#1;D1R0:10]>>[*:1]-[*:8]-[*:6].[*:9]-[*:7]-[*:10].[#7+:2]=[*:3]-[*:4]=[*:5]	cpd00001;Any;cpd00003	If 8 is CH or CH2, it must be in a ring. (MM, 6-7-11, based on note in SF thesis)
