Reactions	Rules
1.3.1.25-RXN_reverse	rule0234
1.3.1.29-RXN	rule0018
1.3.1.29-RXN_reverse	rule0102
1.3.1.49-RXN	rule0102
1.3.1.49-RXN_reverse	rule0018
1.3.1.53-RXN	rule0330
1.3.1.53-RXN_reverse	rule0234
1.3.1.54-RXN	rule0027
1.3.1.54-RXN_reverse	rule0018
1.3.1.56-RXN	rule0102
1.3.1.56-RXN_reverse	rule0018
1.3.1.60-RXN	rule0018
1.3.1.60-RXN_reverse	rule0102
1.3.1.62-RXN	rule0027
1.3.1.62-RXN_reverse	rule0018
1.3.1.63-RXN	rule1009
1.3.1.63-RXN_reverse	rule1010
1.3.1.64-RXN	rule0102
1.3.1.64-RXN_reverse	rule0018
1.3.1.66-RXN	rule0102
1.3.1.66-RXN_reverse	rule0018
1.3.1.67-RXN	rule0330
1.3.1.67-RXN_reverse	rule0234
1.3.1.68-RXN	rule0330
1.3.1.68-RXN_reverse	rule0234
1.3.1.71-RXN	rule0027
1.3.1.71-RXN_reverse	rule0018
1.3.1.73-RXN	rule0027
1.3.1.73-RXN_reverse	rule0018
1.3.3.12-RXN	rule0114
1.3.3.12-RXN_reverse	rule0109
1.3.3.9-RXN	rule0698
1.3.3.9-RXN_reverse	rule0699
1.3.99.5-RXN	rule0027
1.3.99.5-RXN_reverse	rule0018
1.4.1.11-RXN	rule0166
1.4.1.11-RXN_reverse	rule0167
1.4.1.21-RXN	rule0166
1.4.1.21-RXN_reverse	rule0167
1.4.3.17-RXN	rule0114
1.4.3.17-RXN_reverse	rule0109
1.4.3.20-RXN	rule0091
1.4.3.20-RXN_reverse	rule0092
1.5.1.11-RXN	rule0156
1.5.1.11-RXN_reverse	rule0157
1.5.1.15-RXN	rule0331
1.5.1.15-RXN_reverse	rule0235
1.5.1.19-RXN	rule0156
1.5.1.19-RXN_reverse	rule0157
1.5.1.20-RXN	rule0700
1.5.1.20-RXN_reverse	rule0701
1.5.1.24-RXN	rule1011
1.5.1.24-RXN_reverse	rule1012
1.5.1.25-RXN	rule0135
1.5.1.25-RXN_reverse	rule0119
1.5.1.27-RXN	rule0331
1.5.1.27-RXN_reverse	rule0235
1.5.1.28-RXN	rule0156
1.5.1.28-RXN_reverse	rule0157
1.5.1.32-RXN	rule0135
1.5.1.32-RXN_reverse	rule0119
1.5.1.34-RXN	rule1013
1.5.1.34-RXN_reverse	rule1014
1.5.1.35-RXN	rule0332
1.5.1.35-RXN_reverse	rule0333
1.5.1.7-RXN	rule0156
1.5.1.7-RXN_reverse	rule0157
1.5.1.8-RXN	rule0156
1.5.1.8-RXN_reverse	rule0157
1.5.1.9-RXN	rule0156
1.5.1.9-RXN_reverse	rule0157
1.5.3.12-RXN	rule0271
1.5.3.12-RXN_reverse	rule0448
1.5.99.9-RXN	rule0702
1.5.99.9-RXN_reverse	rule0703
1.6.4.9-RXN	rule0293
1.6.4.9-RXN_reverse	rule0294
1.6.5.7-RXN	rule0295
1.6.5.7-RXN_reverse	rule0542
1.6.6.12-RXN	rule0296
1.6.6.12-RXN_reverse	rule0297
1.7.1.12-RXN	rule0704
1.7.1.12-RXN_reverse	rule0705
1.7.1.9-RXN	rule0334
1.7.1.9-RXN_reverse	rule0335
1.8.1.12-RXN	rule0202
1.8.1.12-RXN_reverse	rule0203
1.8.1.4-RXN	rule0202
1.8.1.4-RXN_reverse	rule0203
1.8.1.5-RXN	rule0706
1.8.1.5-RXN_reverse	rule0707
1.8.3.5-RXN	rule0543
1.8.3.5-RXN_reverse	rule0544
1.8.4.1-RXN	rule0272
1.8.4.1-RXN_reverse	rule0272
1.8.4.4-RXN	rule0272
1.8.4.4-RXN_reverse	rule0272
1.8.98.1-RXN	rule1015
1.8.98.1-RXN_reverse	rule1016
1.97.1.2-RXN	rule0150
1.97.1.2-RXN_reverse	rule0150
11-BETA-HYDROXYSTEROID-DEHYDROGENASE-RXN	rule0003
